fp_plate	fp_well	miseq_plate	miseq_well	miseq_experiment_name
HUPFP0082A1	C01	Miseq_115	273	HUEDQ0587_MYT1L
HUPFP0082A1	E02	Miseq_115	193	HUEDQ0587_MYT1L
HUPFP0082A1	G03	Miseq_115	249	HUEDQ0587_MYT1L
HUPFP0082A1	F04	Miseq_115	233	HUEDQ0587_MYT1L
HUPFP0082A1	F05	Miseq_115	209	HUEDQ0587_MYT1L
HUPFP0082A1	A06	Miseq_115	201	HUEDQ0587_MYT1L
HUPFP0082A1	B06	Miseq_115	217	HUEDQ0587_MYT1L
HUPFP0082A1	E06	Miseq_115	257	HUEDQ0587_MYT1L
HUPFP0082A1	B09	Miseq_115	241	HUEDQ0587_MYT1L
HUPFP0082A1	C09	Miseq_115	265	HUEDQ0587_MYT1L
HUPFP0082A1	B12	Miseq_115	225	HUEDQ0587_MYT1L
HUPFP0082A1	C12	Miseq_115	281	HUEDQ0587_MYT1L
HUPFP0008_2	A01	Miseq_021	102	HUEDQ0508_A
HUPFP0008_2	B02	Miseq_021	101	HUEDQ0508_A
HUPFP0021_2	A08	Miseq_022	100	HUEDQ0510_C_AHR_1
HUPFP0023_2	E01	Miseq_022	192	HUEDQ0512_A_SETD1B_4
HUPFP0029_11	E09	Miseq_048	191	HUEDQ0529_A
HUPFP0042_10	A01	Miseq_074	122	HUEDQ0549_LSP1_1
HUPFP0042_10	B02	Miseq_074	121	HUEDQ0549_LSP1_1
HUPFP0042_10	E07	Miseq_074	123	HUEDQ0549_LSP1_1
HUPFP0050A5	D01	Miseq_074	144	HUEDQ0549_SQLE_2
HUPFP0051_7	C02	Miseq_074	169	HUEDQ0550_SARM1_2
HUPFP0051_7	G06	Miseq_074	170	HUEDQ0550_SARM1_2
HUPFP0051A2	B03	Miseq_069	182	HUEDQ0545_EZH2_2
HUPFP0051A2	B05	Miseq_069	181	HUEDQ0545_EZH2_2
HUPFP0051A2	H06	Miseq_069	112	HUEDQ0546_EZH2_2
HUPFP0051A2	A11	Miseq_069	183	HUEDQ0545_EZH2_2
HUPFP0051A2	E11	Miseq_069	184	HUEDQ0545_EZH2_2
HUPFP0051A2	G11	Miseq_069	185	HUEDQ0545_EZH2_2
