fp_plate	fp_well	piq_plate	piq_well	miseq_plate	miseq_well	miseq_experiment	notes												
HUPFP0031_5	A02	HUEDQ0522	C03	Miseq_033	163		[806:HUEDQ0521_MCEMP1_2, 778:HUEDQ0522_MCEMP1_2]												
HUPFP0031_5	B10	HUEDQ0522	B03	Miseq_033	162		[778:HUEDQ0522_MCEMP1_2, 806:HUEDQ0521_MCEMP1_2]												
HUPFP0031_5	E01	HUEDQ0521	H03	Miseq_033	192		[778:HUEDQ0522_MCEMP1_2, 806:HUEDQ0521_MCEMP1_2]												
HUPFP0032_9	A06	HUEDQ0522	D02	Miseq_033	156		[776:HUEDQ0522_SOX9_3, 765:HUEDQ0521_SOX9_3]												
HUPFP0032_9	B07	HUEDQ0522	E02	Miseq_033	157		[776:HUEDQ0522_SOX9_3, 765:HUEDQ0521_SOX9_3]												
HUPFP0032_9	C08	HUEDQ0522	F02	Miseq_033	158		[765:HUEDQ0521_SOX9_3, 776:HUEDQ0522_SOX9_3]												
HUPFP0032_9	D10	HUEDQ0521	F03	Miseq_033	190		[765:HUEDQ0521_SOX9_3, 776:HUEDQ0522_SOX9_3]												
HUPFP0032_9	E01	HUEDQ0522	C02	Miseq_033	155		[765:HUEDQ0521_SOX9_3, 776:HUEDQ0522_SOX9_3]												
HUPFP0033_10	D01	HUEDQ0525	G03	Miseq_037	191		[857:HUEDQ0524_ADNP_2, 815:HUEDQ0525_ADNP_2]												
HUPFP0033_10	A07	HUEDQ0524	G01	Miseq_037	151		[857:HUEDQ0524_ADNP_2, 815:HUEDQ0525_ADNP_2]												
HUPFP0033_10	D11	HUEDQ0524	F01	Miseq_037	150		[857:HUEDQ0524_ADNP_2, 815:HUEDQ0525_ADNP_2]												
HUPFPPlate1	F01	HUEDQ0501	A01	Miseq_009_2ndQC	1		[136:ZMYND11_1_single, 141:HUEDQ0501_ZMYND11_1]												
HUPFPPlate1	H01	HUEDQ0501	D01	Miseq_009_2ndQC	25		[136:ZMYND11_1_single, 141:HUEDQ0501_ZMYND11_1]												
HUPFPPlate1	C04	HUEDQ0501	C01	Miseq_009_2ndQC	17		[136:ZMYND11_1_single, 141:HUEDQ0501_ZMYND11_1]												
