fp_plate	fp_well	piq_plate	piq_well	miseq_plate	miseq_well	miseq_experiment_name	notes	in_db_gene	in_db_piq	in_db_miseq	in_db_miseq_experiments
HUPFP0027_11	D01						Clones don't appear on any of the HUEDQ plates	C5AR1	[HUEDQ0516_D01, HUEDQ0515_D01]	[Miseq_027_D13]	[587:HUPEPD0030_14:CHD8, 575:HUPEPD0030_2:COL2A1, 574:HUPEPD0030_8:SOX5, 589:HUEDQ0516_C5AR1_2:C5AR1]
HUPFP0027_11	E04						Clones don't appear on any of the HUEDQ plates	C5AR1	[HUEDQ0516_C01, HUEDQ0515_C01]	[Miseq_027_C13]	[589:HUEDQ0516_C5AR1_2:C5AR1, 587:HUPEPD0030_14:CHD8, 574:HUPEPD0030_8:SOX5]
HUPFP0028_8	D04						Clones don't appear on any of the HUEDQ plates	KMT5B	[HUEDQ0517_A02]	[]	[]
HUPFP0029_14_15	A01	HUEDQ0517	F01	Miseq_028	126	HUEDQ0517_KAT6A_1		KAT6A	[HUEDQ0517_F01]	[Miseq_028_F16]	[675:HUEDQ0517_KAT6A_1:KAT6A, 674:SNCA_E35K_17:SNCA, 656:HUEDQ0518_TBL1XR1_2:TBL1XR1, 668:HD1_Sam_20:HD1, 666:HUEDQ0517_TBL1XR1_2:TBL1XR1, 685:SNCA_E35K_18:SNCA]
HUPFP0029_14_15	E04	HUEDQ0517	G01	Miseq_028	127	HUEDQ0517_KAT6A_1		KAT6A	[HUEDQ0517_G01]	[Miseq_028_G16]	[675:HUEDQ0517_KAT6A_1:KAT6A, 685:SNCA_E35K_18:SNCA, 671:HD1_Sam_19:HD1, 687:HUEDQ0518_KMT2E:KMT2E, 668:HD1_Sam_20:HD1, 674:SNCA_E35K_17:SNCA]
HUPFP0029_14_15	H02	HUEDQ0517	H01	Miseq_028	128	HUEDQ0517_KAT6A_1		KAT6A	[HUEDQ0517_H01]	[Miseq_028_H16]	[675:HUEDQ0517_KAT6A_1:KAT6A, 668:HD1_Sam_20:HD1, 665:HUEDQ0518_KAT6B_1:KAT6B]
HUPFP0030_5	A07	HUEDQ0549	D02	Miseq_074	132	HUEDQ0549_TCF4_2		TCF4	[HUEDQ0549_D02]	[]	[]
HUPFP0030_5	F10	HUEDQ0550	E01	Miseq_074	166	HUEDQ0550_TCF4_2		TCF4	[HUEDQ0550_E01]	[Miseq_074_E13]	[1616:HUEDQ0549_SET_1:SET, 1634:HUEDQ0549_SETBP1_2:SETBP1, 1645:ARID2_1_HDR_Plate_2_ARID2_1:ARID2, 1648:HUEDQ0549_PICK1_1:PICK1, 1649:HUEDQ0547_B_MECP2_4:MECP2, 1665:HUEDQ0080_MLH1_5:MLH1]
HUPFP0033_14	A01	HUEDQ0527	E01	Miseq_040	173	HUEDQ0527_FOXG1_2	Correct well but no sequencing result for it	FOXG1	[HUEDQ0527_E01]	[Miseq_040_E22]	[922:HUPEPD0041_12:LIPA, 903:LTA4H_5_384:LTA4H, 921:HUPEPD0041_6:ZCCHC6, 924:HUPEPD0041_4:NHLRC2, 899:LTA4H_2:LTA4H]
HUPFP0037_4	A08	HUEDQ0527	C03	Miseq_040	187	HUEDQ0527_SNCA_1		SNCA	[HUEDQ0527_C03]	[Miseq_040_M01]	[914:LTA4H_6_384:LTA4H, 928:LTA4H_3:LTA4H]
HUPFP0038_9	C04	HUEDQ0549	E02	Miseq_074	133	HUEDQ0549_SET_1		SET	[HUEDQ0549_E02]	[]	[]
