experiment,well_name,process,Gene,parent_plate,parent_well
ARID1A_1_M,A1,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,A1
ARID1A_1_M,B1,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,B1
ARID1A_1_M,C1,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,C1
ARID1A_1_M,D1,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,D1
ARID1A_1_M,E1,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,E1
ARID1A_1_M,F1,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,F1
ARID1A_1_M,G1,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,G1
ARID1A_1_M,H1,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,H1
ARID1A_1_M,A2,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,A2
ARID1A_1_M,B2,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,B2
ARID1A_1_M,C2,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,C2
ARID1A_1_M,D2,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,D2
ARID1A_1_M,E2,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,E2
ARID1A_1_M,F2,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,F2
ARID1A_1_M,G2,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,G2
ARID1A_1_M,H2,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,H2
ARID1A_1_M,A3,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,A3
ARID1A_1_M,B3,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,B3
ARID1A_1_M,C3,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,C3
ARID1A_1_M,D3,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,D3
ARID1A_1_M,E3,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,E3
ARID1A_1_M,F3,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,F3
ARID1A_1_M,G3,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,G3
ARID1A_1_M,H3,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,H3
ARID1A_1_M,A4,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,A4
ARID1A_1_M,B4,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,B4
ARID1A_1_M,C4,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,C4
ARID1A_1_M,D4,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,D4
ARID1A_1_M,E4,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,E4
ARID1A_1_M,F4,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,F4
ARID1A_1_M,G4,miseq_no_template,ARID1A_1,MiSeq_TT_FP_8,G4
