experiment,well_name,process,Gene,parent_plate,parent_well,orig_exp
ARID1A_1_Single,A9,miseq_no_template,ARID1A_1,Miseq_009_FP,A9,ARID1A_1_single
ARID1B_2_Single,A9,miseq_no_template,ARID1B_2,Miseq_009_FP,A9,ARID1B_2_single
ARID1B_2_Single,A10,miseq_no_template,ARID1B_2,Miseq_009_FP,A10,ARID1B_2_single
ASXL3_2_Single,A1,miseq_no_template,ASXL3_2,Miseq_009_FP,A1,ASXL3_2_single
ASXL3_2_Single,B1,miseq_no_template,ASXL3_2,Miseq_009_FP,B1,ASXL3_2_single
ASXL3_2_Single,C1,miseq_no_template,ASXL3_2,Miseq_009_FP,C1,ASXL3_2_single
ASXL3_2_Single,D1,miseq_no_template,ASXL3_2,Miseq_009_FP,D1,ASXL3_2_single
ASXL3_2_Single,E1,miseq_no_template,ASXL3_2,Miseq_009_FP,E1,ASXL3_2_single
ASXL3_2_Single,F1,miseq_no_template,ASXL3_2,Miseq_009_FP,F1,ASXL3_2_single
ASXL3_2_Single,G1,miseq_no_template,ASXL3_2,Miseq_009_FP,G1,ASXL3_2_single
ASXL3_2_Single,H1,miseq_no_template,ASXL3_2,Miseq_009_FP,H1,ASXL3_2_single
ASXL3_2_Single,A2,miseq_no_template,ASXL3_2,Miseq_009_FP,A2,ASXL3_2_single
ASXL3_2_Single,B2,miseq_no_template,ASXL3_2,Miseq_009_FP,B2,ASXL3_2_single
ASXL3_2_Single,C2,miseq_no_template,ASXL3_2,Miseq_009_FP,C2,ASXL3_2_single
ASXL3_2_Single,D2,miseq_no_template,ASXL3_2,Miseq_009_FP,D2,ASXL3_2_single
ASXL3_2_Single,E2,miseq_no_template,ASXL3_2,Miseq_009_FP,E2,ASXL3_2_single
ASXL3_2_Single,F2,miseq_no_template,ASXL3_2,Miseq_009_FP,F2,ASXL3_2_single
ASXL3_2_Single,G2,miseq_no_template,ASXL3_2,Miseq_009_FP,G2,ASXL3_2_single
ASXL3_2_Single,H2,miseq_no_template,ASXL3_2,Miseq_009_FP,H2,ASXL3_2_single
ASXL3_2_Single,A3,miseq_no_template,ASXL3_2,Miseq_009_FP,A3,ASXL3_2_single
ASXL3_2_Single,B3,miseq_no_template,ASXL3_2,Miseq_009_FP,B3,ASXL3_2_single
ASXL3_2_Single,C3,miseq_no_template,ASXL3_2,Miseq_009_FP,C3,ASXL3_2_single
ASXL3_2_Single,D3,miseq_no_template,ASXL3_2,Miseq_009_FP,D3,ASXL3_2_single
ASXL3_2_Single,E3,miseq_no_template,ASXL3_2,Miseq_009_FP,E3,ASXL3_2_single
ASXL3_2_Single,F3,miseq_no_template,ASXL3_2,Miseq_009_FP,F3,ASXL3_2_single
ASXL3_2_Single,G3,miseq_no_template,ASXL3_2,Miseq_009_FP,G3,ASXL3_2_single
ASXL3_2_Single,H3,miseq_no_template,ASXL3_2,Miseq_009_FP,H3,ASXL3_2_single
ASXL3_2_Single,A4,miseq_no_template,ASXL3_2,Miseq_009_FP,A4,ASXL3_2_single
ASXL3_2_Single,B4,miseq_no_template,ASXL3_2,Miseq_009_FP,B4,ASXL3_2_single
ASXL3_2_Single,C4,miseq_no_template,ASXL3_2,Miseq_009_FP,C4,ASXL3_2_single
ASXL3_2_Single,D4,miseq_no_template,ASXL3_2,Miseq_009_FP,D4,ASXL3_2_single
ASXL3_2_Single,E4,miseq_no_template,ASXL3_2,Miseq_009_FP,E4,ASXL3_2_single
ASXL3_2_Single,F4,miseq_no_template,ASXL3_2,Miseq_009_FP,F4,ASXL3_2_single
ASXL3_2_Single,G4,miseq_no_template,ASXL3_2,Miseq_009_FP,G4,ASXL3_2_single
ASXL3_2_Single,H4,miseq_no_template,ASXL3_2,Miseq_009_FP,H4,ASXL3_2_single
ASXL3_2_Single,A5,miseq_no_template,ASXL3_2,Miseq_009_FP,A5,ASXL3_2_single
ASXL3_2_Single,B5,miseq_no_template,ASXL3_2,Miseq_009_FP,B5,ASXL3_2_single
ASXL3_2_Single,C5,miseq_no_template,ASXL3_2,Miseq_009_FP,C5,ASXL3_2_single
ASXL3_2_Single,D5,miseq_no_template,ASXL3_2,Miseq_009_FP,D5,ASXL3_2_single
ASXL3_2_Single,E5,miseq_no_template,ASXL3_2,Miseq_009_FP,E5,ASXL3_2_single
ASXL3_2_Single,F5,miseq_no_template,ASXL3_2,Miseq_009_FP,F5,ASXL3_2_single
ASXL3_2_Single,G5,miseq_no_template,ASXL3_2,Miseq_009_FP,G5,ASXL3_2_single
ASXL3_2_Single,H5,miseq_no_template,ASXL3_2,Miseq_009_FP,H5,ASXL3_2_single
ASXL3_2_Single,A6,miseq_no_template,ASXL3_2,Miseq_009_FP,A6,ASXL3_2_single
ASXL3_2_Single,B6,miseq_no_template,ASXL3_2,Miseq_009_FP,B6,ASXL3_2_single
ASXL3_2_Single,C6,miseq_no_template,ASXL3_2,Miseq_009_FP,C6,ASXL3_2_single
ASXL3_2_Single,D6,miseq_no_template,ASXL3_2,Miseq_009_FP,D6,ASXL3_2_single
ASXL3_2_Single,E6,miseq_no_template,ASXL3_2,Miseq_009_FP,E6,ASXL3_2_single
ASXL3_2_Single,F6,miseq_no_template,ASXL3_2,Miseq_009_FP,F6,ASXL3_2_single
ASXL3_2_Single,G6,miseq_no_template,ASXL3_2,Miseq_009_FP,G6,ASXL3_2_single
ASXL3_2_Single,H6,miseq_no_template,ASXL3_2,Miseq_009_FP,H6,ASXL3_2_single
ASXL3_2_Single,A7,miseq_no_template,ASXL3_2,Miseq_009_FP,A7,ASXL3_2_single
ASXL3_2_Single,B7,miseq_no_template,ASXL3_2,Miseq_009_FP,B7,ASXL3_2_single
ASXL3_2_Single,C7,miseq_no_template,ASXL3_2,Miseq_009_FP,C7,ASXL3_2_single
ASXL3_2_Single,D7,miseq_no_template,ASXL3_2,Miseq_009_FP,D7,ASXL3_2_single
ASXL3_2_Single,E7,miseq_no_template,ASXL3_2,Miseq_009_FP,E7,ASXL3_2_single
ASXL3_2_Single,F7,miseq_no_template,ASXL3_2,Miseq_009_FP,F7,ASXL3_2_single
ASXL3_2_Single,G7,miseq_no_template,ASXL3_2,Miseq_009_FP,G7,ASXL3_2_single
ASXL3_2_Single,H7,miseq_no_template,ASXL3_2,Miseq_009_FP,H7,ASXL3_2_single
ASXL3_2_Single,A8,miseq_no_template,ASXL3_2,Miseq_009_FP,A8,ASXL3_2_single
ASXL3_2_Single,B8,miseq_no_template,ASXL3_2,Miseq_009_FP,B8,ASXL3_2_single
ASXL3_2_Single,C8,miseq_no_template,ASXL3_2,Miseq_009_FP,C8,ASXL3_2_single
ASXL3_2_Single,D8,miseq_no_template,ASXL3_2,Miseq_009_FP,D8,ASXL3_2_single
ASXL3_2_Single,E8,miseq_no_template,ASXL3_2,Miseq_009_FP,E8,ASXL3_2_single
ASXL3_2_Single,F8,miseq_no_template,ASXL3_2,Miseq_009_FP,F8,ASXL3_2_single
ASXL3_2_Single,G8,miseq_no_template,ASXL3_2,Miseq_009_FP,G8,ASXL3_2_single
ASXL3_2_Single,H8,miseq_no_template,ASXL3_2,Miseq_009_FP,H8,ASXL3_2_single
ASXL3_2_Single,A9,miseq_no_template,ASXL3_2,Miseq_009_FP,A9,ASXL3_2_single
ASXL3_2_Single,B9,miseq_no_template,ASXL3_2,Miseq_009_FP,B9,ASXL3_2_single
ASXL3_2_Single,C9,miseq_no_template,ASXL3_2,Miseq_009_FP,C9,ASXL3_2_single
ASXL3_2_Single,D9,miseq_no_template,ASXL3_2,Miseq_009_FP,D9,ASXL3_2_single
ASXL3_2_Single,E9,miseq_no_template,ASXL3_2,Miseq_009_FP,E9,ASXL3_2_single
ASXL3_2_Single,F9,miseq_no_template,ASXL3_2,Miseq_009_FP,F9,ASXL3_2_single
ASXL3_2_Single,G9,miseq_no_template,ASXL3_2,Miseq_009_FP,G9,ASXL3_2_single
ASXL3_2_Single,H9,miseq_no_template,ASXL3_2,Miseq_009_FP,H9,ASXL3_2_single
ASXL3_2_Single,A10,miseq_no_template,ASXL3_2,Miseq_009_FP,A10,ASXL3_2_single
ASXL3_2_Single,B10,miseq_no_template,ASXL3_2,Miseq_009_FP,B10,ASXL3_2_single
ASXL3_2_Single,C10,miseq_no_template,ASXL3_2,Miseq_009_FP,C10,ASXL3_2_single
ASXL3_2_Single,D10,miseq_no_template,ASXL3_2,Miseq_009_FP,D10,ASXL3_2_single
ASXL3_2_Single,E10,miseq_no_template,ASXL3_2,Miseq_009_FP,E10,ASXL3_2_single
ASXL3_2_Single,F10,miseq_no_template,ASXL3_2,Miseq_009_FP,F10,ASXL3_2_single
ASXL3_2_Single,G10,miseq_no_template,ASXL3_2,Miseq_009_FP,G10,ASXL3_2_single
ASXL3_2_Single,H10,miseq_no_template,ASXL3_2,Miseq_009_FP,H10,ASXL3_2_single
ASXL3_2_Single,A11,miseq_no_template,ASXL3_2,Miseq_009_FP,A11,ASXL3_2_single
ASXL3_2_Single,B11,miseq_no_template,ASXL3_2,Miseq_009_FP,B11,ASXL3_2_single
ASXL3_2_Single,C11,miseq_no_template,ASXL3_2,Miseq_009_FP,C11,ASXL3_2_single
ASXL3_2_Single,D11,miseq_no_template,ASXL3_2,Miseq_009_FP,D11,ASXL3_2_single
ASXL3_2_Single,E11,miseq_no_template,ASXL3_2,Miseq_009_FP,E11,ASXL3_2_single
ASXL3_2_Single,F11,miseq_no_template,ASXL3_2,Miseq_009_FP,F11,ASXL3_2_single
ASXL3_2_Single,G11,miseq_no_template,ASXL3_2,Miseq_009_FP,G11,ASXL3_2_single
ASXL3_2_Single,H11,miseq_no_template,ASXL3_2,Miseq_009_FP,H11,ASXL3_2_single
ASXL3_2_Single,A12,miseq_no_template,ASXL3_2,Miseq_009_FP,A12,ASXL3_2_single
ASXL3_2_Single,B12,miseq_no_template,ASXL3_2,Miseq_009_FP,B12,ASXL3_2_single
ASXL3_2_Single,C12,miseq_no_template,ASXL3_2,Miseq_009_FP,C12,ASXL3_2_single
ASXL3_2_Single,D12,miseq_no_template,ASXL3_2,Miseq_009_FP,D12,ASXL3_2_single
ASXL3_2_Single,E12,miseq_no_template,ASXL3_2,Miseq_009_FP,E12,ASXL3_2_single
ASXL3_2_Single,F12,miseq_no_template,ASXL3_2,Miseq_009_FP,F12,ASXL3_2_single
ASXL3_2_Single,G12,miseq_no_template,ASXL3_2,Miseq_009_FP,G12,ASXL3_2_single
ASXL3_2_Single,H12,miseq_no_template,ASXL3_2,Miseq_009_FP,H12,ASXL3_2_single
HUEDQ0501_ASXL3_2,B2,miseq_no_template,ASXL3_2,Miseq_009_FP,B2,HUEDQ0501_ASXL3_2
HUEDQ0501_ASXL3_2,A12,miseq_no_template,ASXL3_2,Miseq_009_FP,A12,HUEDQ0501_ASXL3_2
HUPEPD0007_3_FCER1G_1,A1,miseq_no_template,FCER1G_1,Miseq_009_FP,A1,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,B1,miseq_no_template,FCER1G_1,Miseq_009_FP,B1,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,C1,miseq_no_template,FCER1G_1,Miseq_009_FP,C1,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,D1,miseq_no_template,FCER1G_1,Miseq_009_FP,D1,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,E1,miseq_no_template,FCER1G_1,Miseq_009_FP,E1,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,F1,miseq_no_template,FCER1G_1,Miseq_009_FP,F1,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,G1,miseq_no_template,FCER1G_1,Miseq_009_FP,G1,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,H1,miseq_no_template,FCER1G_1,Miseq_009_FP,H1,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,A2,miseq_no_template,FCER1G_1,Miseq_009_FP,A2,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,B2,miseq_no_template,FCER1G_1,Miseq_009_FP,B2,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,C2,miseq_no_template,FCER1G_1,Miseq_009_FP,C2,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,D2,miseq_no_template,FCER1G_1,Miseq_009_FP,D2,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,E2,miseq_no_template,FCER1G_1,Miseq_009_FP,E2,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,F2,miseq_no_template,FCER1G_1,Miseq_009_FP,F2,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,G2,miseq_no_template,FCER1G_1,Miseq_009_FP,G2,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,H2,miseq_no_template,FCER1G_1,Miseq_009_FP,H2,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,A3,miseq_no_template,FCER1G_1,Miseq_009_FP,A3,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,B3,miseq_no_template,FCER1G_1,Miseq_009_FP,B3,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,C3,miseq_no_template,FCER1G_1,Miseq_009_FP,C3,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,D3,miseq_no_template,FCER1G_1,Miseq_009_FP,D3,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,E3,miseq_no_template,FCER1G_1,Miseq_009_FP,E3,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,F3,miseq_no_template,FCER1G_1,Miseq_009_FP,F3,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,G3,miseq_no_template,FCER1G_1,Miseq_009_FP,G3,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,H3,miseq_no_template,FCER1G_1,Miseq_009_FP,H3,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,A4,miseq_no_template,FCER1G_1,Miseq_009_FP,A4,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,B4,miseq_no_template,FCER1G_1,Miseq_009_FP,B4,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,C4,miseq_no_template,FCER1G_1,Miseq_009_FP,C4,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,D4,miseq_no_template,FCER1G_1,Miseq_009_FP,D4,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,E4,miseq_no_template,FCER1G_1,Miseq_009_FP,E4,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,F4,miseq_no_template,FCER1G_1,Miseq_009_FP,F4,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,G4,miseq_no_template,FCER1G_1,Miseq_009_FP,G4,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,H4,miseq_no_template,FCER1G_1,Miseq_009_FP,H4,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,A5,miseq_no_template,FCER1G_1,Miseq_009_FP,A5,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,B5,miseq_no_template,FCER1G_1,Miseq_009_FP,B5,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,C5,miseq_no_template,FCER1G_1,Miseq_009_FP,C5,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,D5,miseq_no_template,FCER1G_1,Miseq_009_FP,D5,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,E5,miseq_no_template,FCER1G_1,Miseq_009_FP,E5,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,F5,miseq_no_template,FCER1G_1,Miseq_009_FP,F5,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,G5,miseq_no_template,FCER1G_1,Miseq_009_FP,G5,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,H5,miseq_no_template,FCER1G_1,Miseq_009_FP,H5,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,A6,miseq_no_template,FCER1G_1,Miseq_009_FP,A6,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,B6,miseq_no_template,FCER1G_1,Miseq_009_FP,B6,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,C6,miseq_no_template,FCER1G_1,Miseq_009_FP,C6,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,D6,miseq_no_template,FCER1G_1,Miseq_009_FP,D6,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,E6,miseq_no_template,FCER1G_1,Miseq_009_FP,E6,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,F6,miseq_no_template,FCER1G_1,Miseq_009_FP,F6,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,G6,miseq_no_template,FCER1G_1,Miseq_009_FP,G6,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,H6,miseq_no_template,FCER1G_1,Miseq_009_FP,H6,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,A7,miseq_no_template,FCER1G_1,Miseq_009_FP,A7,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,B7,miseq_no_template,FCER1G_1,Miseq_009_FP,B7,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,C7,miseq_no_template,FCER1G_1,Miseq_009_FP,C7,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,D7,miseq_no_template,FCER1G_1,Miseq_009_FP,D7,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,E7,miseq_no_template,FCER1G_1,Miseq_009_FP,E7,HUPEPD0007_3_FCER1G_1
HUPEPD0007_3_FCER1G_1,F7,miseq_no_template,FCER1G_1,Miseq_009_FP,F7,HUPEPD0007_3_FCER1G_1
