experiment,well_name,process,Gene,parent_plate,parent_well,orig_exp
DC_IFITM1_2,A1,miseq_no_template,IFITM1_2,Miseq_012_FP,A1,DC_IFITM1_2
DC_IFITM1_2,B1,miseq_no_template,IFITM1_2,Miseq_012_FP,B1,DC_IFITM1_2
DC_IFITM1_2,C1,miseq_no_template,IFITM1_2,Miseq_012_FP,C1,DC_IFITM1_2
DC_IFITM1_2,D1,miseq_no_template,IFITM1_2,Miseq_012_FP,D1,DC_IFITM1_2
DC_IFITM1_2,E1,miseq_no_template,IFITM1_2,Miseq_012_FP,E1,DC_IFITM1_2
DC_IFITM1_2,F1,miseq_no_template,IFITM1_2,Miseq_012_FP,F1,DC_IFITM1_2
DC_IFITM1_2,G1,miseq_no_template,IFITM1_2,Miseq_012_FP,G1,DC_IFITM1_2
DC_IFITM1_2,H1,miseq_no_template,IFITM1_2,Miseq_012_FP,H1,DC_IFITM1_2
DC_IFITM1_2,A2,miseq_no_template,IFITM1_2,Miseq_012_FP,A2,DC_IFITM1_2
DC_IFITM1_2,B2,miseq_no_template,IFITM1_2,Miseq_012_FP,B2,DC_IFITM1_2
DC_IFITM1_2,C2,miseq_no_template,IFITM1_2,Miseq_012_FP,C2,DC_IFITM1_2
DC_IFITM1_2,D2,miseq_no_template,IFITM1_2,Miseq_012_FP,D2,DC_IFITM1_2
DC_IFITM1_2,E2,miseq_no_template,IFITM1_2,Miseq_012_FP,E2,DC_IFITM1_2
DC_IFITM1_2,F2,miseq_no_template,IFITM1_2,Miseq_012_FP,F2,DC_IFITM1_2
DC_IFITM1_2,G2,miseq_no_template,IFITM1_2,Miseq_012_FP,G2,DC_IFITM1_2
DC_IFITM1_2,H2,miseq_no_template,IFITM1_2,Miseq_012_FP,H2,DC_IFITM1_2
DC_IFITM1_2,A3,miseq_no_template,IFITM1_2,Miseq_012_FP,A3,DC_IFITM1_2
DC_IFITM1_2,B3,miseq_no_template,IFITM1_2,Miseq_012_FP,B3,DC_IFITM1_2
DC_IFITM1_2,C3,miseq_no_template,IFITM1_2,Miseq_012_FP,C3,DC_IFITM1_2
DC_IFITM1_2,D3,miseq_no_template,IFITM1_2,Miseq_012_FP,D3,DC_IFITM1_2
DC_IFITM1_2,E3,miseq_no_template,IFITM1_2,Miseq_012_FP,E3,DC_IFITM1_2
DC_IFITM1_2,F3,miseq_no_template,IFITM1_2,Miseq_012_FP,F3,DC_IFITM1_2
DC_IFITM1_2,G3,miseq_no_template,IFITM1_2,Miseq_012_FP,G3,DC_IFITM1_2
DC_IFITM1_2,H3,miseq_no_template,IFITM1_2,Miseq_012_FP,H3,DC_IFITM1_2
DC_IFITM1_2,A4,miseq_no_template,IFITM1_2,Miseq_012_FP,A4,DC_IFITM1_2
DC_IFITM1_2,B4,miseq_no_template,IFITM1_2,Miseq_012_FP,B4,DC_IFITM1_2
DC_IFITM1_2,C4,miseq_no_template,IFITM1_2,Miseq_012_FP,C4,DC_IFITM1_2
DC_IFITM1_2,D4,miseq_no_template,IFITM1_2,Miseq_012_FP,D4,DC_IFITM1_2
DC_IFITM1_2,E4,miseq_no_template,IFITM1_2,Miseq_012_FP,E4,DC_IFITM1_2
DC_IFITM1_2,F4,miseq_no_template,IFITM1_2,Miseq_012_FP,F4,DC_IFITM1_2
DC_IFITM1_2,G4,miseq_no_template,IFITM1_2,Miseq_012_FP,G4,DC_IFITM1_2
DC_IFITM1_2,H4,miseq_no_template,IFITM1_2,Miseq_012_FP,H4,DC_IFITM1_2
DC_IFITM1_2,A5,miseq_no_template,IFITM1_2,Miseq_012_FP,A5,DC_IFITM1_2
DC_IFITM1_2,B5,miseq_no_template,IFITM1_2,Miseq_012_FP,B5,DC_IFITM1_2
DC_IFITM1_2,C5,miseq_no_template,IFITM1_2,Miseq_012_FP,C5,DC_IFITM1_2
DC_IFITM1_2,D5,miseq_no_template,IFITM1_2,Miseq_012_FP,D5,DC_IFITM1_2
DC_IFITM1_2,E5,miseq_no_template,IFITM1_2,Miseq_012_FP,E5,DC_IFITM1_2
DC_IFITM1_2,F5,miseq_no_template,IFITM1_2,Miseq_012_FP,F5,DC_IFITM1_2
DC_IFITM1_2,G5,miseq_no_template,IFITM1_2,Miseq_012_FP,G5,DC_IFITM1_2
DC_IFITM1_2,H5,miseq_no_template,IFITM1_2,Miseq_012_FP,H5,DC_IFITM1_2
DC_IFITM1_2,A6,miseq_no_template,IFITM1_2,Miseq_012_FP,A6,DC_IFITM1_2
DC_IFITM1_2,B6,miseq_no_template,IFITM1_2,Miseq_012_FP,B6,DC_IFITM1_2
DC_IFITM1_2,C6,miseq_no_template,IFITM1_2,Miseq_012_FP,C6,DC_IFITM1_2
DC_IFITM1_2,D6,miseq_no_template,IFITM1_2,Miseq_012_FP,D6,DC_IFITM1_2
DC_IFITM1_2,E6,miseq_no_template,IFITM1_2,Miseq_012_FP,E6,DC_IFITM1_2
DC_IFITM1_2,F6,miseq_no_template,IFITM1_2,Miseq_012_FP,F6,DC_IFITM1_2
DC_IFITM1_2,G6,miseq_no_template,IFITM1_2,Miseq_012_FP,G6,DC_IFITM1_2
DC_IFITM1_2,H6,miseq_no_template,IFITM1_2,Miseq_012_FP,H6,DC_IFITM1_2
DC_IFITM1_2,A7,miseq_no_template,IFITM1_2,Miseq_012_FP,A7,DC_IFITM1_2
DC_IFITM1_2,B7,miseq_no_template,IFITM1_2,Miseq_012_FP,B7,DC_IFITM1_2
DC_IFITM1_2,C7,miseq_no_template,IFITM1_2,Miseq_012_FP,C7,DC_IFITM1_2
DC_IFITM1_2,D7,miseq_no_template,IFITM1_2,Miseq_012_FP,D7,DC_IFITM1_2
DC_IFITM1_2,E7,miseq_no_template,IFITM1_2,Miseq_012_FP,E7,DC_IFITM1_2
DC_IFITM1_2,F7,miseq_no_template,IFITM1_2,Miseq_012_FP,F7,DC_IFITM1_2
DC_IFITM1_2,G7,miseq_no_template,IFITM1_2,Miseq_012_FP,G7,DC_IFITM1_2
DC_IFITM1_2,H7,miseq_no_template,IFITM1_2,Miseq_012_FP,H7,DC_IFITM1_2
DC_IFITM1_2,A8,miseq_no_template,IFITM1_2,Miseq_012_FP,A8,DC_IFITM1_2
DC_IFITM1_2,B8,miseq_no_template,IFITM1_2,Miseq_012_FP,B8,DC_IFITM1_2
DC_IFITM1_2,C8,miseq_no_template,IFITM1_2,Miseq_012_FP,C8,DC_IFITM1_2
DC_IFITM1_2,D8,miseq_no_template,IFITM1_2,Miseq_012_FP,D8,DC_IFITM1_2
DC_IFITM1_2,E8,miseq_no_template,IFITM1_2,Miseq_012_FP,E8,DC_IFITM1_2
DC_IFITM1_2,F8,miseq_no_template,IFITM1_2,Miseq_012_FP,F8,DC_IFITM1_2
DC_IFITM1_2,G8,miseq_no_template,IFITM1_2,Miseq_012_FP,G8,DC_IFITM1_2
DC_IFITM1_2,H8,miseq_no_template,IFITM1_2,Miseq_012_FP,H8,DC_IFITM1_2
DC_IFITM1_2,A9,miseq_no_template,IFITM1_2,Miseq_012_FP,A9,DC_IFITM1_2
DC_IFITM1_2,B9,miseq_no_template,IFITM1_2,Miseq_012_FP,B9,DC_IFITM1_2
DC_IFITM1_2,C9,miseq_no_template,IFITM1_2,Miseq_012_FP,C9,DC_IFITM1_2
DC_IFITM1_2,D9,miseq_no_template,IFITM1_2,Miseq_012_FP,D9,DC_IFITM1_2
DC_IFITM1_2,E9,miseq_no_template,IFITM1_2,Miseq_012_FP,E9,DC_IFITM1_2
DC_IFITM1_2,F9,miseq_no_template,IFITM1_2,Miseq_012_FP,F9,DC_IFITM1_2
DC_IFITM1_2,G9,miseq_no_template,IFITM1_2,Miseq_012_FP,G9,DC_IFITM1_2
DC_IFITM1_2,H9,miseq_no_template,IFITM1_2,Miseq_012_FP,H9,DC_IFITM1_2
DC_IFITM1_2,A10,miseq_no_template,IFITM1_2,Miseq_012_FP,A10,DC_IFITM1_2
DC_IFITM1_2,B10,miseq_no_template,IFITM1_2,Miseq_012_FP,B10,DC_IFITM1_2
DC_IFITM1_2,C10,miseq_no_template,IFITM1_2,Miseq_012_FP,C10,DC_IFITM1_2
DC_IFITM1_2,D10,miseq_no_template,IFITM1_2,Miseq_012_FP,D10,DC_IFITM1_2
DC_IFITM1_2,E10,miseq_no_template,IFITM1_2,Miseq_012_FP,E10,DC_IFITM1_2
DC_IFITM1_2,F10,miseq_no_template,IFITM1_2,Miseq_012_FP,F10,DC_IFITM1_2
DC_IFITM1_2,G10,miseq_no_template,IFITM1_2,Miseq_012_FP,G10,DC_IFITM1_2
DC_IFITM1_2,H10,miseq_no_template,IFITM1_2,Miseq_012_FP,H10,DC_IFITM1_2
DC_IFITM1_2,A11,miseq_no_template,IFITM1_2,Miseq_012_FP,A11,DC_IFITM1_2
DC_IFITM1_2,B11,miseq_no_template,IFITM1_2,Miseq_012_FP,B11,DC_IFITM1_2
DC_IFITM1_2,C11,miseq_no_template,IFITM1_2,Miseq_012_FP,C11,DC_IFITM1_2
DC_IFITM1_2,D11,miseq_no_template,IFITM1_2,Miseq_012_FP,D11,DC_IFITM1_2
DC_IFITM1_2,E11,miseq_no_template,IFITM1_2,Miseq_012_FP,E11,DC_IFITM1_2
DC_IFITM1_2,F11,miseq_no_template,IFITM1_2,Miseq_012_FP,F11,DC_IFITM1_2
DC_IFITM1_2,G11,miseq_no_template,IFITM1_2,Miseq_012_FP,G11,DC_IFITM1_2
DC_IFITM1_2,H11,miseq_no_template,IFITM1_2,Miseq_012_FP,H11,DC_IFITM1_2
DC_IFITM1_2,A12,miseq_no_template,IFITM1_2,Miseq_012_FP,A12,DC_IFITM1_2
DC_IFITM1_2,B12,miseq_no_template,IFITM1_2,Miseq_012_FP,B12,DC_IFITM1_2
DC_IFITM1_2,C12,miseq_no_template,IFITM1_2,Miseq_012_FP,C12,DC_IFITM1_2
DC_IFITM1_2,D12,miseq_no_template,IFITM1_2,Miseq_012_FP,D12,DC_IFITM1_2
DC_IFITM1_2,E12,miseq_no_template,IFITM1_2,Miseq_012_FP,E12,DC_IFITM1_2
DC_IFITM1_2,F12,miseq_no_template,IFITM1_2,Miseq_012_FP,F12,DC_IFITM1_2
DC_IFITM1_2,G12,miseq_no_template,IFITM1_2,Miseq_012_FP,G12,DC_IFITM1_2
DC_IFITM1_2,H12,miseq_no_template,IFITM1_2,Miseq_012_FP,H12,DC_IFITM1_2
DDD_ASXL1_1,A1,miseq_no_template,ASXL1_1,Miseq_012_FP,A1,DDD_ASXL1_1
DDD_ASXL1_1,B1,miseq_no_template,ASXL1_1,Miseq_012_FP,B1,DDD_ASXL1_1
DDD_ASXL1_1,C1,miseq_no_template,ASXL1_1,Miseq_012_FP,C1,DDD_ASXL1_1
DDD_ASXL1_1,D1,miseq_no_template,ASXL1_1,Miseq_012_FP,D1,DDD_ASXL1_1
DDD_ASXL1_1,E1,miseq_no_template,ASXL1_1,Miseq_012_FP,E1,DDD_ASXL1_1
DDD_ASXL1_1,F1,miseq_no_template,ASXL1_1,Miseq_012_FP,F1,DDD_ASXL1_1
DDD_ASXL1_1,G1,miseq_no_template,ASXL1_1,Miseq_012_FP,G1,DDD_ASXL1_1
DDD_ASXL1_1,H1,miseq_no_template,ASXL1_1,Miseq_012_FP,H1,DDD_ASXL1_1
DDD_ASXL1_1,A2,miseq_no_template,ASXL1_1,Miseq_012_FP,A2,DDD_ASXL1_1
DDD_ASXL1_1,B2,miseq_no_template,ASXL1_1,Miseq_012_FP,B2,DDD_ASXL1_1
DDD_ASXL1_1,C2,miseq_no_template,ASXL1_1,Miseq_012_FP,C2,DDD_ASXL1_1
DDD_ASXL1_1,D2,miseq_no_template,ASXL1_1,Miseq_012_FP,D2,DDD_ASXL1_1
DDD_ASXL1_1,E2,miseq_no_template,ASXL1_1,Miseq_012_FP,E2,DDD_ASXL1_1
