Miseq Plate,Experiment,Virtual Temporary Plate,Parent Plate
Miseq_007,CD33,Miseq_007_FP,FPDM2_TP53_CD33
Miseq_007,HUPEPD0008_2_CPVL_1,Miseq_007_FP,HUPEPD0008_2
Miseq_007,HUPEPD0008_2_GK_1,Miseq_007_FP,HUPEPD0008_2
Miseq_007,HUPEPD0008_3_HK3_1,Miseq_007_FP,HUPEPD0008_3
Miseq_007,HUPEPD0007_1_MCMEP_1,Miseq_007_FP,HUPEPD0007_1
Miseq_007,HUPEPD0011_1_PDLIM7_1,Miseq_007_FP,HUPEPD0011_1
Miseq_007,HUPEPD0011_2_RAB13_1,Miseq_007_FP,HUPEPD0011_2
Miseq_007,HUPEPD0007_2_S100A9_1,Miseq_007_FP,HUPEPD0007_2
Miseq_007,TP53,Miseq_007_FP,FPDM2_TP53_CD33
Miseq_007,FPDM2,Miseq_007_FP,FPDM2_TP53_CD33
Miseq_008,HUPEPD0018_1_ANKRD11,Miseq_008_FP,HUPEPD0018_1
Miseq_008,HUPEPD0017_4_CHD4_1,Miseq_008_FP,HUPEPD0017_4
Miseq_008,DC_IFITM1_1_A04,Miseq_008_FP,DC_IFITM1_1
Miseq_008,HUPEPD0018_4_MECP2,Miseq_008_FP,HUPEPD0018_4
Miseq_008,HUPEPD0019_2_MED13L,Miseq_008_FP,HUPEPD0019_2
Miseq_008,DC_PARK2_1,Miseq_008_FP,DC_PARK2_1
Miseq_008,HUPEPD0019_4_SATB2,Miseq_008_FP,HUPEPD0019_4
Miseq_008,HUPEPD0019_1_SMARCA2,Miseq_008_FP,HUPEPD0019_1
Miseq_008,DC_TP53,Miseq_008_FP,DC_TP53
Miseq_009,HUPEPD0020_5_CHD3_1,Miseq_009_FP,HUPEPD0020_5
Miseq_009,HUPEDQ0007_3_FCER1G_1,Miseq_009_FP,HUPEDQ0007_3
Miseq_009,HUPEPD0008_1_FPR2_1,Miseq_009_FP,HUPEPD0008_1
Miseq_009,HUPEDQ0002_1_RAB32_1,Miseq_009_FP,HUPEDQ0002_1
Miseq_009,HUPEPD0007_4_MGST_1,Miseq_009_FP,HUPEPD0007_4
Miseq_009_2ndQC,HUEDQ0501_ASXL3_2,Miseq_009_FP,HUEDQ0501
Miseq_009_2ndQC,HUPEPD0007_3_FCER1G_1,Miseq_009_FP,HUPEPD0007_3
Miseq_009_2ndQC,HUEDQ0501_KPTN_1,Miseq_009_FP,HUEDQ0501
Miseq_009_2ndQC,HUEDQ0501_SETD1B_2,Miseq_009_FP,HUEDQ0501
Miseq_009_2ndQC,HUEDQ0501_ZMYND11_1,Miseq_009_FP,HUEDQ0501
