plate_name	well_name
HUMUT0001_2	A06
HUMUT0001_2	E03
HUMUT0001_2	F01
HUMUT0001_2	F02
HUMUT0001_2	F10
HUMUT0001_2	G07
HUMUT0001_4F	A06
HUMUT0001_4F	F09
HUMUT0001_4F	G03
HUMUT0001_4F	G09
HUPFP0007_1	A02
HUPFP0007_1	A03
HUPFP0007_1	D10
HUPFP0007_1	E02
HUPFP0007_1	E08
HUPFP0007_1	E09
HUPFP0007_1	G02
HUPFP0007_3	A03
HUPFP0007_3	D05
HUPFP0007_3	E06
HUPFP0007_3	E08
HUPFP0007_3	F07
HUPFP0007_3	H03
HUPFP0007_4	A03
HUPFP0007_4	A07
HUPFP0007_4	A08
HUPFP0007_4	B03
HUPFP0007_4	D01
HUPFP0007_4	D08
HUPFP0007_4	E03
HUPFP0007_4	H01
HUPFP0008_2	A01
HUPFP0008_2	A03
HUPFP0008_2	A11
HUPFP0008_2	B01
HUPFP0008_2	B02
HUPFP0008_2	C01
HUPFP0008_4	A11
HUPFP0008_4	B11
HUPFP0008_4	E03
HUPFP0008_4	F03
HUPFP0008_4	F05
HUPFP0008_4	H10
HUPFP0008_99	A01
HUPFP0008_99	B01
HUPFP0008_99	C01
HUPFP0008_99	E01
HUPFP0011_2	A01
HUPFP0011_2	C01
HUPFP0011_2	E01
HUPFP0011_2	G04
HUPFP0015_1	A04
HUPFP0015_1	A09
HUPFP0015_1	A10
HUPFP0015_1	B01
HUPFP0015_1	B03
HUPFP0015_1	C06
HUPFP0015_2	A03
HUPFP0015_2	B03
HUPFP0015_2	B05
HUPFP0015_2	C05
HUPFP0015_2	E04
HUPFP0015_2	G02
HUPFP0015_3	A01
HUPFP0015_4	A03
HUPFP0015_4	A04
HUPFP0015_4	B07
HUPFP0015_4	C02
HUPFP0017_3	B04
HUPFP0017_4	A01
HUPFP0017_4	B02
HUPFP0017_4	B03
HUPFP0018_1	A03
HUPFP0018_1	A04
HUPFP0018_1	B01
HUPFP0018_1	B01
HUPFP0018_1	B02
HUPFP0018_1	B03
HUPFP0018_1	C05
HUPFP0018_2	B10
HUPFP0018_2	C08
HUPFP0018_2	D06
HUPFP0018_2	D12
HUPFP0018_2	E06
HUPFP0018_2	H05
HUPFP0018_3	A05
HUPFP0018_3	A07
HUPFP0018_3	A08
HUPFP0018_3	A09
HUPFP0018_3	D12
HUPFP0018_3	E02
HUPFP0018_3	E04
HUPFP0018_3	F11
HUPFP0019_1	A01
HUPFP0019_1	B01
HUPFP0019_1	C01
HUPFP0019_1	C07
HUPFP0019_1	G07
HUPFP0019_1	H07
HUPFP0019_2	B03
HUPFP0019_2	D01
HUPFP0019_2	D02
HUPFP0019_2	G02
HUPFP0019_3	A03
HUPFP0019_3	A06
HUPFP0019_3	B02
HUPFP0019_3	D02
HUPFP0019_3	D05
HUPFP0019_3	E02
HUPFP0019_3	F01
HUPFP0019_3	H01
HUPFP0020_1	A01
HUPFP0020_1	A02
HUPFP0020_1	B04
HUPFP0020_1	C07
HUPFP0020_10	C12
HUPFP0020_10	E08
HUPFP0020_10	G05
HUPFP0020_10	G07
HUPFP0020_11	A01
HUPFP0020_11	A02
HUPFP0020_11	E06
HUPFP0020_12	A08
HUPFP0020_12	A09
HUPFP0020_12	B08
HUPFP0020_12	E08
HUPFP0020_12	F08
HUPFP0020_3	A01
HUPFP0020_3	A02
HUPFP0020_3	D03
HUPFP0020_4	A01
HUPFP0020_4	A02
HUPFP0020_4	H12
HUPFP0020_9	E02
HUPFP0020_9	F01
HUPFP0020_9	G12
HUPFP0020_9	H09
HUPFP0020_9	H11
HUPFP0021_10	A02
HUPFP0021_10	A04
HUPFP0021_10	C03
HUPFP0021_11	A01
HUPFP0021_11	A02
HUPFP0021_11	A07
HUPFP0021_11	A08
HUPFP0021_11	F04
HUPFP0021_11	F06
HUPFP0021_12	A02
HUPFP0021_12	A03
HUPFP0021_12	A04
HUPFP0021_12	A09
HUPFP0021_12	B04
HUPFP0021_12	E08
HUPFP0021_12	F01
HUPFP0021_14	A01
HUPFP0021_14	A02
HUPFP0021_14	B01
HUPFP0021_14	C03
HUPFP0021_14	F01
HUPFP0021_14	G11
HUPFP0021_15	A02
HUPFP0021_15	A03
HUPFP0021_15	C02
HUPFP0021_15	C03
HUPFP0021_15	C11
